sku,rev,ord,rev_rank,ord_rank,low_rotation_flag,dead_flag
BL090-XS,0.0,1,7187.5,6746.5,0,1
BL090-XXL,460.0,1,6803.5,6746.5,0,1
BL091-XL,605.0,1,6512.5,6746.5,0,1
BL093-M,301.0,1,7101.5,6746.5,0,1
BL093-S,273.0,1,7153.5,6746.5,0,1
BL095-M,460.0,1,6803.5,6746.5,0,1
BL095-XL,460.0,1,6803.5,6746.5,0,1
BL096-S,229.0,1,7176.5,6746.5,0,1
BL096-XL,301.0,1,7101.5,6746.5,0,1
BL098-M,372.0,1,6934.5,6746.5,0,1
BL098-S,2181.0,6,4756.5,4040.0,0,0
BL098-XL,602.0,2,6542.5,5959.0,0,0
BL098-XS,419.0,1,6869.5,6746.5,0,1
BL098-XXL,1207.0,3,5652.0,5335.5,0,0
BL099-L,560.0,2,6625.0,5959.0,0,0
BL099-S,777.0,3,6252.5,5335.5,0,0
BL099-XS,259.0,1,7168.0,6746.5,0,1
BL100-M,259.0,1,7168.0,6746.5,0,1
BL100-S,777.0,3,6252.5,5335.5,0,0
BL100-XL,560.0,2,6625.0,5959.0,0,0
BL100-XXL,1210.0,2,5648.5,5959.0,0,0
BL101-M,498.0,2,6743.0,5959.0,0,0
BL101-S,498.0,2,6743.0,5959.0,0,0
BL101-XS,498.0,2,6743.0,5959.0,0,0
BL101-XXL,249.0,1,7171.5,6746.5,0,1
BL102-L,518.0,2,6690.5,5959.0,0,0
BL102-M,1036.0,4,5874.5,4820.5,0,0
BL102-S,518.0,2,6690.5,5959.0,0,0
BL102-XS,259.0,1,7168.0,6746.5,0,1
BL103-L,2417.0,5,4585.5,4401.5,0,0
BL103-M,499.0,1,6732.0,6746.5,0,1
BL103-S,2462.1,5,4545.0,4401.5,0,0
BL103-XL,4779.0,9,3321.5,3188.5,0,0
BL103-XS,2423.1,5,4576.0,4401.5,0,0
BL103-XXL,4678.0,10,3358.0,2967.0,0,0
BL104-L,6045.62,12,2856.0,2615.5,0,0
BL104-M,1720.0,3,5135.5,5335.5,0,0
BL104-S,3599.0,7,3821.5,3717.5,0,0
BL104-XL,973.33,2,5997.0,5959.0,0,0
BL104-XS,493.0,1,6753.5,6746.5,0,1
BL104-XXL,2008.0,4,4892.5,4820.5,0,0
BL107-M,642.33,2,6436.5,5959.0,0,0
BL107-S,967.0,3,6003.0,5335.5,0,0
BL107-XL,319.0,1,7043.0,6746.5,0,1
BL107-XS,959.0,3,6011.0,5335.5,0,0
BL107-XXL,311.0,1,7068.5,6746.5,0,1
BL109-L,4125.0,8,3578.0,3433.0,0,0
BL109-M,4817.0,9,3307.0,3188.5,0,0
BL109-S,487.0,1,6766.0,6746.5,0,1
BL109-XL,1852.0,3,5025.0,5335.5,0,0
BL109-XS,1036.0,2,5874.5,5959.0,0,0
BL109-XXL,3133.0,6,4094.0,4040.0,0,0
BL110-L,4380.62,13,3470.0,2460.0,0,0
BL110-M,682.0,2,6363.0,5959.0,0,0
BL110-S,1643.0,5,5200.5,4401.5,0,0
BL110-XL,658.0,2,6398.5,5959.0,0,0
BL110-XS,934.0,2,6042.0,5959.0,0,0
BL110-XXL,646.33,2,6423.0,5959.0,0,0
BL111-L,1141.0,4,5748.5,4820.5,0,0
BL111-M,602.0,2,6542.5,5959.0,0,0
BL111-S,840.0,3,6183.0,5335.5,0,0
BL111-XL,301.0,1,7101.5,6746.5,0,1
BL111-XS,602.0,2,6542.5,5959.0,0,0
BL113-L,1449.0,4,5427.5,4820.5,0,0
BL113-M,1098.0,3,5799.0,5335.5,0,0
BL113-S,1479.0,4,5378.0,4820.5,0,0
BL113-XL,3563.0,7,3850.0,3717.5,0,0
BL113-XS,1972.0,4,4924.0,4820.5,0,0
